Row Labels,Average of lat,Average of lon,Sum of Valuation,Sum of Fee Amount,Size
325 Hatch St,-76.15251418,43.02012799,2000,55,2
325 Westcott St,-76.11958255,43.04445005,2000,55,2
329 Shirley Dr,-76.15504566,43.00873842,2000,114,2
3319-25 Burnet Ave & Burns Ave,-76.09205049,43.06137594,2000,25,2
3400 Genesee St E,-76.09190542,43.04215774,2000,55,2
345 Cloveridge Dr,-76.09280929,43.06329632,2000,55,2
348 Collingwood Ave S,-76.10775762,43.06250099,2000,55,2
359 Marlborough Rd & Beacon R,-76.11287521,43.07330415,2000,56,2
364 Bryant Ave,-76.18540571,43.04517556,2000,55,2
400 Beard Ave W,-76.15232184,43.02546589,2000,60,2
400 Scott Ave & Mineola Dr,-76.10760195,43.03560957,2000,68,2
400-02 Roberts Ave & Gordon Ave,-76.17249982,43.02893643,2000,64,2
401-03 Temple St,-76.15591231,43.03926603,2000,100,2
401-03 Valley Dr & Medora Pl,-76.15906804,43.01428176,2000,55,2
402 Brookford Rd,-76.10070166,43.03649806,2000,55,2
404 Hamilton St,-76.18712458,43.05058743,2000,98,2
405-07 Valley Dr,-76.1589944,43.01415986,2000,55,2
406 Brighton Ave W,-76.15187083,43.01998326,2000,55,2
409 Academy Pl,-76.1512375,42.99230895,2000,69,2
410 Helen St,-76.13526435,43.06754444,2000,4,2
410 Valley Dr,-76.15964689,43.01389694,2000,54,2
414-16 Columbus Ave,-76.12186965,43.04528084,2000,55,2
416 Tompkins St,-76.18517594,43.04723483,2000,25,2
420 Roberts Ave,-76.17255264,43.02839748,2000,80,2
424 Warner Ave,-76.15148645,43.02187275,2000,55,2
436 Roberts Ave & Crossett St,-76.17244537,43.02800438,2000,55,2
437 Midler Ave S,-76.10437834,43.06071887,2000,58,2
"440 (201-208) Winding Ridge Rd 1500 Colvin 
St E",-76.12215315,43.01573066,2000,75,2
448 Edwards Ave S,-76.10631971,43.06030106,2000,55,2
"461 (101-108) Winding Ridge Rd 1500 Colvin 
St E",-76.12215315,43.01573066,2000,75,2
477 Stafford Ave,-76.11185314,43.05926182,2000,62,2
500 Boyden St,-76.11971466,43.06102198,2000,55,2
500 Glenwood Ave & Columbia A,-76.16848339,43.02002657,2000,55,2
501-03 Cumberland Ave & Euclid A,-76.11277967,43.03687109,2000,55,2
503 State St N,-76.15132031,43.05512699,2000,25,2
505 Hickory St,-76.14739209,43.05556017,2000,55,2
510 Robineau Rd,-76.17124937,43.01878012,2000,58,2
511 Wolf St,-76.16294316,43.07410455,2000,55,2
512 Mosley Dr,-76.10121799,43.06032971,2000,68,2
514 Bear St & Spring St,-76.15977246,43.07166065,2000,55,2
514 Dewitt St,-76.13405641,43.06633813,2000,55,2
517 Stafford Ave,-76.11182108,43.0582686,2000,55,2
518 Hamilton St,-76.18998374,43.04965594,2000,55,2
519 Velasko Rd,-76.1866139,43.03158786,2000,55,2
528 Elm St,-76.13045956,43.05896952,2000,55,2
532 Seneca Tnpk W,-76.15678083,43.00298758,2000,113,2
540 Seymour St,-76.1700747,43.04220734,2000,130,2
551 Brighton Ave E,-76.13436814,43.01193856,2000,69,2
5610 Salina St S,-76.14514999,42.98849708,2000,40,2
606 Pond St,-76.15045721,43.06714769,2000,56,2
612 Turtle St,-76.15740661,43.07209144,2000,55,2
612-14 Stinard Ave,-76.17448152,43.02726211,2000,68,2
615 Lemoyne Ave,-76.16155849,43.07324659,2000,55,2
616 Beech St S & Bristol Pl,-76.12283574,43.04242002,2000,195,2
616-18 Beattie St,-76.10868934,43.04597898,2000,55,2
619 Barnes Ave,-76.15900597,43.00612959,2000,55,2
621 Meadowbrook Dr & Fellows,-76.11550318,43.03136004,2000,64,2
622 Seeley Rd & Niven St,-76.10430305,43.04777438,2000,55,2
624 Demong Dr,-76.08651136,43.04331514,2000,54,2
628-30 Wolcott Ave,-76.18323457,43.02643359,2000,55,2
629 Wilbur Ave S,-76.17491526,43.04331174,2000,55,2
651 Cumberland Ave,-76.11252501,43.0333456,2000,154,2
700 Crawford Ave & Montana St,-76.11070453,43.03445799,2000,55,2
703 Lodi St,-76.13913129,43.05513091,2000,55,2
708 Avery Ave,-76.19435092,43.05199124,2000,40,2
715 Coughlin Ave,-76.10488935,43.07394255,2000,55,2
721 Hazelwood Ave,-76.094951,43.052032,2000,56,2
724 Salt Springs Rd,-76.1037346,43.04584086,2000,55,2
810 Velasko Rd,-76.18613668,43.02849135,2000,56,2
816 Euclid Ave,-76.11988154,43.03642911,2000,62.5,2
852-56 Park Ave,-76.17620838,43.05243663,2000,105,2
855 Ostrom Ave,-76.12801596,43.03473421,2000,69,2
908 Cumberland Ave,-76.11332552,43.02880086,2000,55,2
915 Brighton Ave E,-76.13037885,43.00407588,2000,55,2
921 Park Ave,-76.17851201,43.05185926,2000,55,2
943 Lancaster Ave,-76.12285918,43.0331095,2000,55,2
952 Wadsworth St,-76.14226224,43.07979211,2000,55,2
Academic Bldg 400 Ostrom Ave,-76.12966772,43.04201902,2000,170,2
Lehman Parking Lot 606 University Ave,-76.13537304,43.04333356,2000,85,2
Unit 2 1002 Butternut St,-76.14341888,43.06413763,2000,55,2
Unit 4 1120 State St N,-76.15609322,43.06201448,2000,90,2
112 Eldorado St,-76.12237881,43.06325141,2016,54,2
1939 Genesee St E & Westcott S,-76.12030848,43.04578127,2025,69,2
420 Genesee St E To Mc Carthy,-76.14693849,43.04771955,2035.48,75,2
2115 Grant Blvd,-76.14454753,43.07256201,2038,95,2
2509 Erie Blvd E & Midler Ave,-76.10387415,43.05401719,2047,193,2
1145-53 Erie Blvd E & Walnut Ave,-76.1326798,43.05081791,2049,174,2
108 Ostrander Ave E,-76.14045398,43.01397126,2050,94,2
109 Hillside St,-76.14368274,43.07682768,2050,89,2
300 Onondaga Ave,-76.16545503,43.03161425,2050,112,2
636 Carbon St & Carlisle St,-76.15345587,43.06817054,2050,135,2
137 Vieau Dr,-76.18475779,43.03031089,2060,56,2
1223 Westmoreland Ave,-76.1138512,43.02986555,2062,70,2
1500-04 Colvin St W,-76.16229936,43.02325912,2064,62,2
237 Sunrise Dr,-76.13780403,42.99510724,2065,54,2
632 Salisbury Pk Dr & Harwood,-76.09821305,43.04820879,2065,54,2
1001 Park Ave & Lakeview Ave,-76.18059904,43.05168373,2068,165,2
914 State St N,-76.15396923,43.05938107,2070.55,99,2
409 Onondaga Ave,-76.16419197,43.0294845,2075,80,2
1127 Bellevue Ave,-76.17361388,43.03253819,2079,56,2
405 Carbon St,-76.14819406,43.06554147,2083,64,2
647-49 Midland Ave,-76.15426032,43.03220707,2083,25,2
415 Loomis Ave,-76.15235784,43.00723879,2098,69,2
168 Kuhl Ave,-76.14479203,43.07833484,2099,79,2
126 Holland St,-76.16184665,43.03970401,2100,105,2
127 Bishop Ave,-76.15809958,43.02232149,2100,126,2
130 Paul Ave,-76.11988501,43.06864843,2100,95,2
1375-81 Burnet Ave & Greenway Ave,-76.12002969,43.05501454,2100,220,2
213 Congress Ave,-76.16272956,43.03938013,2100,160,2
2148 Geddes St S,-76.17526229,43.02226662,2100,54,2
2213 Grant Blvd,-76.14557331,43.07271577,2100,62,2
2235 Grant Blvd & Pond St,-76.14632667,43.07287783,2100,70,2
254-56 Lafayette Ave W,-76.1481748,43.01934659,2100,70,2
2704 Lodi St,-76.16514031,43.06847686,2100,280,2
327 Harvard Pl & Fellows Ave,-76.11602652,43.04185069,2100,58,2
524 Audubon Pkwy,-76.09590195,43.05007561,2100,70,2
832 Maryland Ave,-76.12092177,43.0355513,2100,54,2
410 Douglas St,-76.13811849,43.06084953,2108,70,2
518 Wolf St & First North St,-76.16191545,43.07416133,2119,170,2
132 Valley View Dr,-76.15845541,43.0099933,2125,95,2
636 Catherine St,-76.14567637,43.05824603,2125,83,2
202 Monticello Dr S,-76.13946502,42.99837061,2126,54,2
803 Stinard Ave,-76.17182889,43.02016543,2131.45,70,2
416-30 Clinton St S & Jefferson,-76.15422543,43.04729732,2144.01,525,2
113-15 Sabine St,-76.16644195,43.0393918,2150,421,2
1233-41 Erie Blvd W,-76.18158564,43.0510035,2150,83,2
163 Milnor Ave,-76.10167829,43.04762151,2150,70,2
932 Glencove Rd,-76.10244726,43.06397425,2160,68,2
109 Ellen St,-76.15185871,43.08038788,2175,60,2
926-30 Burnet Ave & Vine St,-76.1261013,43.0529068,2175,157,2
416 Sedgwick Dr,-76.13277227,43.06732552,2180,54,2
1219 Milton Ave,-76.19887687,43.05896786,2180.95,93,2
104 Peck Ave,-76.1198148,43.06748939,2200,130,2
104 Stacy Pl,-76.15127633,42.99469613,2200,122,2
105 Wall St,-76.1738015,43.04847086,2200,110,2
106 Lincoln Pk Dr,-76.13266265,43.05746098,2200,58,2
107 Avondale Pl,-76.12100222,43.03945185,2200,139,2
115 Elmwood Ave,-76.16293244,43.01804997,2200,135,2
119 Seward St,-76.14444715,43.05942672,2200,70,2
132 Sunhill Terr,-76.18997606,43.02970934,2200,68,2
143 Seeley Ave,-76.14488682,43.00170295,2200,62,2
160-62 Cook Ave,-76.11947076,43.06516854,2200,58,2
200 Crawford Ave,-76.11133426,43.04090988,2200,84,2
200-02 Wilson St & Dorothy St,-76.12583153,43.06220311,2200,58,2
205 Barrington Rd,-76.08602443,43.04478235,2200,54,2
205 Clifton Pl,-76.11666025,43.06380437,2200,168,2
214 Brookford Rd,-76.10465867,43.03925088,2200,70,2
2212-14 James St,-76.11670221,43.06769482,2200,58,2
222 Cambridge St,-76.11865061,43.04278429,2200,68,2
227 Kennedy St E,-76.14513562,43.03149784,2200,0,2
233-35 Whittier Ave,-76.18145211,43.04523551,2200,58,2
241 Palmer Ave,-76.1623562,43.03201727,2200,60,2
258 Roxbury Rd,-76.09527996,43.06631656,2200,95,2
300 Kirkpatrick St,-76.1618055,43.06088684,2200,300,2
315-17 Burnet Ave,-76.14317955,43.05250182,2200,69,2
318 Erie St,-76.19404611,43.05170067,2200,70,2
318-22 Montgomery St,-76.15017462,43.04789624,2200,374,2
405 Clarence Ave,-76.13957512,43.00457113,2200,70,2
415 Wheaton Rd & Grant Blvd,-76.12703734,43.0725048,2200,123,2
425 Cherry St & Beech St S,-76.123481,43.04362954,2200,157,2
444-46 Kirk Ave,-76.15609868,43.02772325,2200,80,2
513 Carbon St,-76.14943261,43.06601371,2200,62,2
516 Park Ave,-76.16530408,43.05235496,2200,98,2
613 Pond St,-76.15085914,43.0677812,2200,70,2
614 Park Ave,-76.16780963,43.05242322,2200,82,2
860 Maryland Ave,-76.12079668,43.03477344,2200,136,2
929 Westmoreland Ave,-76.11390484,43.03624944,2200,70,2
Unit 2 812 Kirkpatrick St,-76.1516962,43.0712507,2200,62,2
213 Warham St,-76.14531808,43.07152412,2208,70,2
1059 Belden Ave W,-76.17034348,43.05464634,2225,62,2
1209 Lemoyne Ave,-76.15390968,43.08031045,2250,62,2
182 Hood Ave,-76.14537938,43.07487508,2250,68,2
1908 Lodi St,-76.15277533,43.06311424,2250,68,2
205 Rich St,-76.16129503,43.03495268,2250,93,2
222 Kimber Ave,-76.15644337,43.00380797,2250,70,2
527 Jamesville Ave & Bartlett,-76.13210788,43.02064314,2250,95,2
535 Gifford St,-76.16666927,43.04273007,2250,55,2
709 Comstock Ave,-76.1299109,43.03888418,2250,127,2
523 Onondaga St W & South Ave,-76.15877306,43.03894406,2252.48,87,2
821 Dewitt St,-76.13499627,43.07001957,2256,62,2
212 Boston St,-76.09131214,43.06654378,2258,89,2
408-22 James St & Burnet Ave,-76.14791615,43.05244406,2264,325,2
201 Kirkpatrick St & State St,-76.15782444,43.06413281,2267,233,2
2835 Erie Blvd E,-76.09351811,43.0556343,2273,318,2
109 Jaclyn Dr,-76.14471622,42.98587386,2280,110,2
1413 Butternut St,-76.14356649,43.07159607,2285,83,2
1515 Burnet Ave,-76.11613928,43.05619684,2285,58,2
344 Norwood Ave,-76.10997008,43.07474356,2288,62,2
217 Midler Ave S,-76.10483847,43.06578915,2295,93,2
122 Wiman Ave,-76.15388443,43.01598118,2298,70,2
1427-31 South Ave & Colvin St W,-76.15926422,43.02321165,2299,253,2
110-12 Loehr Ave,-76.18047977,43.03484646,2300,109,2
112 Windham Dr,-76.09457572,43.03658019,2300,70,2
117 Schuler St,-76.12403327,43.06020281,2300,70,2
117-19 Whittier Ave,-76.17903864,43.04615338,2300,105,2
1211 Meadowbrook Dr,-76.10918277,43.03881774,2300,113,2
126 Collingwood Ave N,-76.1075685,43.06957315,2300,77,2
1340 Butternut St & Saile St,-76.14312712,43.07069738,2300,70,2
145 Harding Pl,-76.14231941,42.99365962,2300,70,2
164 Hillsdale Ave,-76.10937924,43.06674676,2300,123,2
173 Woodbine Ave,-76.10985226,43.06650454,2300,58,2
1804 State St S,-76.14459559,43.02716263,2300,62,2
203-1/2 Cherry St,-76.12356627,43.04792489,2300,127,2
2207 Grant Blvd,-76.14525179,43.0726812,2300,113,2
249 Boston St,-76.09049455,43.06559245,2300,94,2
408-10 Broad St,-76.12088388,43.02998076,2300,56,2
411 Craddock St,-76.16266685,43.02004647,2300,112,2
419 Pacific Ave,-76.15304945,43.00798964,2300,144,2
538 Valley Dr,-76.15840125,43.01156119,2300,102,2
539 Collingwood Ave S & Burne,-76.10679856,43.05823198,2300,56,2
720 Lancaster Ave,-76.12397972,43.03759082,2300,105,2
1816-22 Midland Ave To Warner Ave,-76.15071933,43.02138285,2308,235,2
123 Oakdale Dr,-76.15655675,43.00684817,2311,70,2
1219 Highland St,-76.14265365,43.07030103,2314.96,70,2
208-18 Geddes St S To Fayette T,-76.17207301,43.04537773,2340,245,2
325 Wadsworth St,-76.13976672,43.07299101,2349,113,2
1200 Lancaster Ave & Hertford,-76.12284269,43.02831747,2350,70,2
128 Edwards Ave S,-76.10699361,43.06784879,2350,62,2
708 Summit Ave,-76.16622354,43.0206794,2350,126,2
926 Avery Ave,-76.19654279,43.05501289,2350,58,2
243 Milnor Ave,-76.09864498,43.04777448,2360,62,2
415 Brighton Ave E,-76.13716259,43.01695085,2369,224,2
2637-41 James St,-76.11011195,43.06895022,2370,277,2
201 Morton St,-76.19804919,43.05383979,2389,70,2
208 Kenwick Dr,-76.13523443,43.07510272,2389,68,2
1040 Ackerman Ave To Windsor P,-76.12464744,43.03087859,2392,62,2
1312 Stolp Ave,-76.18383666,43.02996618,2398,80,2
401 Dakin St & Bruce St,-76.1121004,43.05073844,2398,114,2
100 Water St E & Warren St S,-76.1513258,43.05031141,2400,0,2
102 Ross Pk & Butternut St,-76.14308406,43.07443189,2400,77,2
106-08 Mark Ave,-76.15047675,43.0252556,2400,70,2
107 Dorset Rd,-76.12690017,43.03346977,2400,68,2
107 Fourth North St,-76.15868024,43.07746041,2400,105,2
122 Brooklea Pl,-76.1502143,42.99660268,2400,70,2
128 Paul Ave,-76.11978445,43.06859606,2400,94,2
137-39 Houston Ave To Cumberland,-76.11365231,43.04059506,2400,70,2
153 Winthrop Rd,-76.09803918,43.06585667,2400,62,2
1609 Spring St,-76.16377352,43.07319374,2400,124,2
1705 Park St,-76.16231894,43.06964748,2400,70,2
2020 Lodi St,-76.15464168,43.0640288,2400,108,2
210 Rowland St,-76.17317924,43.03596128,2400,186,2
211 Kellogg St,-76.16383349,43.03877357,2400,87,2
222 Shotwell Pk,-76.11615775,43.06364469,2400,95,2
237-39 Fellows Ave,-76.11540038,43.040494,2400,66,2
309-11 Whittier Ave,-76.182768,43.0447365,2400,80,2
422 Thayer St & Tejah Ave,-76.12478244,43.01530549,2400,119,2
432 Edwards Ave S,-76.1063597,43.06073799,2400,95,2
4403 Salina St S & Glen Ave E,-76.14315628,43.00517964,2400,83,2
514-16 Edwards Ave S,-76.10618356,43.05909157,2400,56,2
613 Barnes Ave,-76.15903561,43.00663806,2400,54,2
910 Danforth St,-76.15339559,43.0717686,2400,70,2
913 Milton Ave,-76.19315955,43.05571388,2400,83,2
936 Westmoreland Ave,-76.11458627,43.03600404,2400,113,2
F208 - Perfumania 1 Carousel Center Dr,-76.17397479,43.0697886,2400,237,2
FC07 - Starbucks 1 Carousel Center Dr,-76.17397479,43.0697886,2400,213,2
Unit 3 4902 Salina St S,-76.14419386,42.99770426,2400,238,2
120-28 Wall St,-76.17305132,43.04940562,2402,298,2
211 Merrill St,-76.15175684,43.08238882,2405,70,2
310 Crouse Ave S To Irving Av,-76.13735022,43.04757771,2430,349,2
1022 Wadsworth St & Ardmore Pl,-76.14376951,43.08086412,2435,68,2
669-81 Clinton St N & Division S,-76.15727223,43.05903636,2440,280,2
143-45 Holland St,-76.16174003,43.03901131,2450,124,2
209 Beard Ave W,-76.14920568,43.02597073,2450,62,2
800 Northway St & Lime St,-76.09418065,43.05241651,2460,62,2
222 Wyoming St & Otisco St,-76.16086138,43.04652413,2465,295,2
420 Sunset Ave,-76.16321824,43.06667752,2465,74,2
862 Sumner Ave,-76.12622179,43.03454526,2470,68,2
175 Hall Ave,-76.14522229,43.01201923,2480,62,2
155 Hickok Ave,-76.11390147,43.06679502,2491,68,2
304 Hurlburt Rd,-76.10123541,43.03902727,2495,70,2
102-04 Shotwell Pk,-76.11637568,43.06758988,2500,138,2
1049 Wadsworth St,-76.14495132,43.08101973,2500,162,2
112 Colby Ave,-76.1029889,43.07135208,2500,133,2
112 Herbst Ave,-76.12352866,43.05876594,2500,95,2
113 Wall St,-76.17378343,43.0488781,2500,94,2
115 Shirley Dr,-76.15564181,43.01064888,2500,56,2
116 Harrington Rd,-76.10257106,43.03979814,2500,54,2
116 Minerva St,-76.14393511,43.00314931,2500,58,2
116 Wendell Terr,-76.12985524,43.06631807,2500,70,2
116-18 Pleasantview Ave,-76.13351862,43.07311677,2500,166,2
117 Cayuga St,-76.18814352,43.05089298,2500,56,2
120 Dorothy St,-76.12808379,43.06101525,2500,70,2
1200-02 Onondaga St W & Bradley S,-76.17304725,43.03417349,2500,58,2
1218 Grant Blvd,-76.13472836,43.07272143,2500,70,2
1219 Bellevue Ave,-76.17667203,43.03242819,2500,70,2
122 Hoefler St,-76.18048738,43.03739673,2500,68,2
123 Erie St,-76.18957124,43.0527727,2500,70,2
1247 Park St,-76.15479174,43.06675344,2500,116,2
1264 Westcott St,-76.11898897,43.02845604,2500,83,2
129-31 Marshall St,-76.13621937,43.0417695,2500,220,2
129-33 Collingwood Ave N,-76.10817241,43.06965471,2500,70,2
130 Academy Pl & Cossitt St,-76.15224082,42.99641561,2500,178,2
131 Hazelhurst Ave,-76.11333992,43.07053013,2500,70,2
132 Edwards Ave S,-76.10698449,43.06773924,2500,70,2
1343 Westmoreland Ave,-76.11367157,43.0278462,2500,70,2
136 Chester St,-76.15827514,43.03175773,2500,116,2
1360 Teall Ave,-76.12285575,43.06686159,2500,58,2
1411 Park St & Court St,-76.1583056,43.06810183,2500,95,2
1412 Spring St,-76.16051539,43.07271335,2500,151,2
1426-32 Valley Dr & Kimber Ave,-76.15424302,43.00367737,2500,69,2
1610 Park St,-76.16067878,43.0697028,2500,62,2
170 Seymour St,-76.157661,43.04278469,2500,95,2
1907 Lodi St,-76.1530672,43.06271351,2500,72,2
201 Woodlawn Terr & Mertens A,-76.13185249,43.07147067,2500,70,2
203 Lockwood Rd,-76.08966964,43.03860822,2500,70,2
205 Bradford Pkwy,-76.10590989,43.04002624,2500,54,2
205 Rugby Rd & Hampton Rd,-76.12387337,43.06767683,2500,74,2
206 Merrill St,-76.15105647,43.0826618,2500,70,2
207 Pattison St,-76.1270309,43.0591618,2500,62,2
207-11 Clinton St N,-76.15404892,43.05175052,2500,77,2
208-10 Hillsdale Ave,-76.10929341,43.0657995,2500,60,2
211 Harding St,-76.14078682,43.07917668,2500,70,2
2111 Burnet Ave,-76.1064705,43.05837393,2500,54,2
212 Harding Pl,-76.13942093,42.99321211,2500,82,2
212 Peck Ave,-76.12248981,43.06892337,2500,66,2
213 Mclennan Ave,-76.14964791,43.02775013,2500,166,2
215 Vann St,-76.1191235,43.05664905,2500,70,2
2200 Geddes St S & Arden Dr,-76.17502584,43.02125316,2500,152,2
222-24 Fobes Ave,-76.11174545,43.07229979,2500,62,2
229 Ashworth Pl,-76.1305166,43.0477994,2500,140,2
2318 Genesee St E,-76.11534296,43.04489373,2500,70,2
2511 Bellevue Ave,-76.19445708,43.02857241,2500,95,2
257-59 Kennedy St W,-76.15211394,43.02919887,2500,70,2
260 Primrose Ave,-76.14774692,43.01499541,2500,70,2
261-63 Ross Pk,-76.14711296,43.07646853,2500,60,2
262-64 Genesee Pk Dr,-76.10990339,43.04635054,2500,54,2
2721 Erie Blvd E,-76.09671675,43.05589797,2500,110,2
290 Coleridge Ave,-76.18394631,43.04387266,2500,54,2
301-03 Warner Ave & Cannon St,-76.14724794,43.02208998,2500,70,2
305 Latter Dr,-76.13873589,42.9939278,2500,94,2
310-12 South Ave,-76.1595177,43.0358352,2500,135,2
311-13 Second North St,-76.15611713,43.07324431,2500,60,2
3221 James St,-76.10227936,43.06932403,2500,56,2
324 Highland Ave,-76.13378121,43.0615398,2500,122,2
337-39 Woodbine Ave,-76.10951192,43.06274835,2500,64,2
349 Warren St S,-76.15080231,43.04745604,2500,92,2
365 Edwards Ave S,-76.10574766,43.06215565,2500,70,2
365 Midland Ave,-76.15571952,43.03692314,2500,60,2
372-74 Gertrude St & Oak St,-76.13395648,43.05582477,2500,66,2
394 Coleridge Ave,-76.18785455,43.04239038,2500,54,2
403 Newell St W,-76.1527284,43.01664548,2500,105,2
413 Hillsboro Pkwy,-76.08758359,43.04089112,2500,54,2
414-16 Westmoreland Ave,-76.11527552,43.04665774,2500,70,2
416 Brighton Ave E,-76.138206,43.016992,2500,665,2
438-40 Ellis St,-76.11417769,43.04598755,2500,60,2
444 Ridgewood Dr,-76.09473408,43.06322035,2500,70,2
445 Woodbine Ave,-76.10928712,43.06026796,2500,54,2
450 Westcott St,-76.12015506,43.04250057,2500,70,2
453 Hillsdale Ave,-76.10803519,43.06010693,2500,110,2
462 Hickok Ave,-76.1140723,43.0595697,2500,70,2
4725 Salina St S,-76.14238112,43.00123747,2500,71,2
480 James St & Townsend St N,-76.14631326,43.0531031,2500,170,2
511 Summit Ave & Colvin St W,-76.16572217,43.02295765,2500,94,2
515 Caleb Ave,-76.1088829,43.05934018,2500,70,2
516 Scott Ave,-76.10719051,43.03337198,2500,70,2
602 Park St,-76.14217233,43.06310711,2500,83,2
618 Rugby Rd,-76.13133736,43.0680598,2500,70,2
622 Hamilton St,-76.19140471,43.04911619,2500,98,2
644 Division St E,-76.14887118,43.06343441,2500,83,2
701 Court St & First North St,-76.15600847,43.07230301,2500,95,2
701-03 Salina St N & Division St,-76.15394581,43.06041145,2500,110,2
708 Mcbride St N,-76.1469202,43.05740597,2500,137,2
714 Spring St,-76.15129952,43.06883935,2500,62,2
730 Laurel St E,-76.14434946,43.06026772,2500,54,2
754 Allen St,-76.11698105,43.03733691,2500,56,2
812 Onondaga Ave,-76.16234229,43.02567115,2500,70,2
814 Velasko Rd & Ethel Ave,-76.18612762,43.02835707,2500,95,2
817 Genesee St E To Wellingto,-76.13884946,43.04730176,2500,170,2
842-50 Erie Blvd W & Wall St,-76.17308268,43.04831661,2500,110,2
916 Hazelwood Ave,-76.09189489,43.05168435,2500,70,2
919 Kirkpatrick St,-76.15137607,43.07294191,2500,72,2
920 Burnet Ave,-76.12656688,43.05275454,2500,117,2
926 Wolf St & Willumae Dr & L,-76.15790136,43.07842579,2500,25,2
"Unit 18 M/E Engineering 415-47 Salina St S 
To Warren St",-76.152036,43.046569,2500,106,2
1050 Ackerman Ave To Broad St,-76.12462004,43.03049114,2503,70,2
316 Broadview Dr,-76.2004678,43.02280305,2520,123,2
211 Catherine St,-76.14277989,43.05279424,2525,236,2
813 Hawley Ave,-76.13138941,43.05552763,2525,83,2
200 Berkeley Dr & Circle Rd,-76.12809752,43.03268976,2530,68,2
148 Loma Ave,-76.1436713,43.07856469,2549,56,2
401 Wilkinson St & Van Rensse,-76.16678118,43.05066547,2549,160,2
102 Scottholm Terr,-76.11274617,43.04293112,2550,62,2
134 Bassett St,-76.12306786,43.04456064,2550,95,2
311 Lillian Ave,-76.11137371,43.0708659,2550,70,2
642 Catherine St,-76.14595616,43.05849456,2550,37,2
119-21 Rosemont Dr,-76.14499496,42.99321031,2560,56,2
1004 Caleb Ave At Champlin Dr,-76.10296967,43.06010321,2572,62,2
537 Dewitt St & Rugby Rd,-76.13478076,43.06675485,2580,58,2
208 Gilbert Ave,-76.14696181,43.06763779,2587,62,2
317 Carlton Rd,-76.17533358,43.02014554,2588,70,2
939 Meadowbrook Dr,-76.11203825,43.03382949,2590,64,2
110 Eureka St,-76.17568566,43.05404795,2600,96,2
1116-18 Salina St N,-76.1574332,43.06571374,2600,106,2
125 Concord Pl & Allen St,-76.11717596,43.0400584,2600,70,2
140 Edwards Ave S,-76.10696625,43.06752014,2600,70,2
147 Lakeview Ave,-76.17672764,43.04919936,2600,119,2
152 Wadsworth St,-76.13895968,43.07061864,2600,70,2
191 Manor Dr & Sycamore Terr,-76.08250373,43.04154313,2600,70,2
208 First North St,-76.14557208,43.06816079,2600,142,2
2100 Colvin St E & Westmorelan,-76.11314984,43.02198131,2600,160,2
211-13 Hartson St,-76.17814206,43.03621228,2600,110,2
222 Hancock Dr To Hancock Ln,-76.17678817,43.02017012,2600,70,2
234 Crescent Ave,-76.16081914,43.02875348,2600,68,2
266-68 Genesee Pk Dr,-76.10989299,43.04623761,2600,80,2
307 Hickok Ave & Glencove Rd,-76.11360021,43.0634604,2600,70,2
329 Matson Ave W,-76.15038874,43.01235602,2600,94,2
409 Second North St,-76.15738045,43.07385439,2600,70,2
436 Thurber St,-76.12976858,43.01882317,2600,54,2
510 Scott Ave,-76.10727073,43.03381366,2600,70,2
512 Wilkinson St,-76.17241731,43.05126032,2600,56,2
537 Hickok Ave,-76.11308031,43.05758735,2600,92,2
800 Teall Ave & Robinson St,-76.12221002,43.05848011,2600,68,2
807-09 South Ave,-76.15851031,43.03019518,2600,66,2
411 Elm St,-76.13134017,43.05603936,2611.15,62,2
305 Academy Pl,-76.15133544,42.99344537,2615,54,2
239 Cleveland Ave,-76.14526167,43.07108304,2625,70,2
713 Erie Blvd W,-76.16769239,43.04770182,2640,199,2
116 Mildred Ave,-76.11731956,43.06845315,2649,120,2
101 Columbia Ave & Colvin St,-76.16810725,43.02250238,2650,66,2
817-19 Willow St E,-76.143699,43.05632931,2665,227,2
203 Scott Ave,-76.10949636,43.04132824,2670,138,2
215 Lincoln Pk Dr,-76.12963024,43.05820268,2670,70,2
220 Amherst Ave,-76.14149794,43.02302655,2670,68,2
1019-21 Madison St,-76.13192094,43.04550245,2675,70,2
249 Collingwood Ave S,-76.10722319,43.06479716,2675,74,2
2201 Genesee St E & Allen St,-76.11704429,43.0458258,2682,68,2
401-07 Warren St S & Jefferson S,-76.15078635,43.04681136,2689.53,304,2
124 Winthrop Rd,-76.09908374,43.06534006,2690,96,2
602 Barnes Ave & Camp Ave,-76.15959505,43.00751532,2690,62,2
124 Weymouth Rd,-76.14263784,42.99575744,2695,62,2
1947 Valley Dr & Cossit St,-76.15270156,42.99636916,2695,70,2
1108 Spring St,-76.15578777,43.07081661,2698,216,2
223 Carbon St,-76.14597625,43.0644883,2698.92,70,2
711 Oak St,-76.13677453,43.06288003,2699,122,2
1113 Willis Ave,-76.19719727,43.05825332,2700,132,2
112 Bungalow Terr,-76.18594971,43.03130078,2700,70,2
115 Hampshire Rd,-76.13209061,43.0673517,2700,70,2
116 Barnes Ave & Palmer La,-76.1612208,43.01171489,2700,138,2
116 Sharon Dr,-76.19851563,43.02594354,2700,123,2
1209 Harrison St & Ostrom Ave,-76.12948817,43.04428352,2700,58,2
1241 Glencove Rd S,-76.09552817,43.06436996,2700,56,2
1308 Onondaga St W,-76.17563921,43.03413519,2700,105,2
