Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
Onondaga County Bar Association Lawyer Referral Service,31150010300000260050000000,31150010300000260050000000,431 East Fayette Street,Suite 300,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 4 PM",315-471-2690,Lawyer Referral Service,,,,,,,,,315-471-0705,,,,315-471-2667,,info1@onbar.org,www.onbar.org,"Private, Nonprofit",Provides referrals to attorneys based on law practice specialty.,Onondaga County,,Individuals needing an attorney,,501(c)(3),Government - County,,Fully Accessible,None,Call for referral,None,Legal Associations; Lawyer Referral Services;,NY - Onondaga County;,-76.14646536,43.04879768
SAGE Upstate,31150010300000260050000000,31150010300000260050000000,431 East Fayette Street,,Syracuse,Onondaga,NY,13202,"Drop-in hours: Monday - Friday, 12 Noon - 6 PM",,,,,,,,,,,,,866-717-2640,,315-478-1923,,info@sageupstate.org,www.sageupstate.org/,"Private, Nonprofit","<span id=cphBody_lblAgencyDescription>Provides educational information, support, and social programs for lesbian, gay, bisexual, and transgender people as they age. Offers a drop-in center with WiFi, computer stations, and a lending library. Programs include art, dancing, knitting, writing, and monthly potlucks in Syracuse, Oswego, Cortland, Utica, and Watertown, as well as the support groups listed below.<br /><br /><span id=cphBody_lblAgencyDescription style=display: inline-block; width: 600px;><strong>Men's Night Out</strong> - For gay, bisexual, and transgender men to come together to build social support networks.<br /><em>Meets the third Friday of the month, 6:30 PM</em><br /><strong>Men's Peer Support Group - </strong>A support group for gay, bisexual, and transgender men<br /><em>Meets the second and fourth Thursday of the month, 5 PM</em><br /><b>Women's Peer Support Group - </b>A support group for lesbian, bisexual, transgender, and questioning women<br /><em>Meets Thursday, 4 PM</em><br /><strong>60+ Circle of Friends</strong> - Social group for lesbian, gay, bisexual and transgender people that are 60 and older. <br /><em>Meets the fourth Wednesday of the month, 12:30 PM</em><br /><strong>Trans Social</strong> - For older and aging transgender people.<br /><em>Meets the first and third Saturday of the month, 7 PM</em><br /><strong>Uzuri - </strong>Social group for LGBT people of color<br /><em>Meets the second Friday of the month, 6:30 PM</em></span></span><br />","Cayuga, Cortland, Jefferson, Madison, Oneida, Onondaga, and Oswego Counties",,"Older lesbian, gay, bisexual, and transgender people<br />",,501(c)(3),Nonprofit - Incorporated,"Donations, independent fund raising, other state funding, and membership dues",Fully Accessible,None,Call or walk-in for information and services,None,Gay/Lesbian/Bisexual/Transgender Support Groups; Gay/Lesbian/Bisexual/Transgender Social Clubs; Public Lectures/Discussions; Writing Instruction; Arts and Crafts Instruction; Dance Instruction; Needlecraft Instruction; Subject Specific Public Awareness/Education; Gay/Lesbian/Bisexual/Transgender Community Centers; Drop In Centers;,NY - Onondaga County; NY - Oswego County; NY - Cayuga County; NY - Cortland County; NY - Jefferson County; NY - Madison County; NY - Oneida County;,-76.14646536,43.04879768
AccessCNY,31150000400000150180010000,31150000400000150180010000,1603 Court Street,,Syracuse,Onondaga,NY,13208,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-455-5989,315-455-1794,,,315-455-7591,,info@accesscny.org,www.accesscny.org,"Private, Nonprofit","Provides support and varied services to individuals with developmental disabilities, psychiatric disabilities, or acquired brain injuries.<br /><br />====================================<br />Access CNY",Onondaga County,,"Individuals with developmental disabilities, psychiatric disabilities, or acquired brain injuries",,501(c)(3),Nonprofit - Incorporated,"Onondaga County, New York State (Office of Mental Health, Office of Mental Retardation and Developmental Disabilities, Education), United Way, Medicaid,Private Donations",Fully Accessible,,,,,NY - Onondaga County;,-76.14636639,43.07934905
Disabled in Action,31150000400000150180010000,31150000400000150180010000,1603 Court Street,,Syracuse,Onondaga,NY,13208,Unknown,,,,,,,,,,,,,,,,,,https://www.facebook.com/DisabledinAction/,,Provides rights advocacy for people with disabilities in the greater Syracuse area.,Onondaga County,,"Individuals with disabilities in the greater Syracuse area, their friends, families, and communities",,None or unknown,None or unknown,,Fully accessible,None,Unknown,Unknown,Group Advocacy;,NY - Onondaga County;,-76.14636639,43.07934905
Syracuse TRUCE,31150008400000190160000000,31150008400000190160000000,1941 South Salina Street,,Syracuse,Onondaga,NY,13205,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-475-9709,,,,315-475-9712,,sheria.dixon@use.salvationarmy.org,http://www.syracusetruce.com/syracusetruce/,,<p> A partnership between law enforcement and community service agencies which aims to reduce gang violence.</p>,Onondaga County,,Any person that is group or gang involved in the city of Syracuse,,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,None,None,None,Gang Programs;,NY - Onondaga County;,-76.14615266,43.02717799
North Side Neighborhood Food Pantry and Clothing Closet,31150001700000200080000000,31150001700000200080000000,501 James Street,,Syracuse,Onondaga,NY,13203,"Church office open Monday - Friday, 9 AM - 1 PM",,,,,,,,,,,315-471-8777,,,,315-471-1678,,felsyr@live.com,,Religious-Based,Provides religious services and community programs.,Onondaga County,,Onondaga County residents; restrictions apply for food pantry,,501(c)(3),Faith-based,Donations,Fully Accessible,None,Walk-in,ID and proof of address (for food pantry),,NY - Onondaga County;,-76.14614837,43.05413735
Central New York Eye and Tissue Bank / Division of UNYTS,31150010300000250010000000,31150010300000250010000000,517 East Washington Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 5 PM",,,,,,,,,,,315-471-6060,,800-393-7487,,315-476-0199,,info@cnyetb.org,www.cnyetb.com,"Private, Nonprofit","<p> <span style=color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10.6667px;>Accepts eye and corneal tissue to provide to patients and researchers throughout Central New York and the country.</span><br /> <br /> ======================================<br /> CNY Eye & Bank Research Corporation, Upstate New York Transplant Services</p>","Broome, Chenango, Cortland, Jefferson, Madison, Onondaga, Oswego, and Saint Lawrence counties",,Individuals in need of eye or tissues transplant and individuals wishing to donate,"NYSDOH, FDA, EBAA, AATB",501(c)(3),Nonprofit - Incorporated,"No fees to donors, processing fee to corneal recipients often paid by recipient's insurance company.",Fully Accessible,None to donors; processing fee to corneal recipients often paid by recipient's insurance company,Electronic registry,None,Body Donations; Bone Banks; Organ and Tissue Banks; Organ Donor Assistance Programs; Organ Donor Cards/Registries; Organ Procurement Organizations;,NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Jefferson County; NY - Madison County; NY - Cortland County; NY - Chenango County; NY - Broome County;,-76.14530587,43.04918291
Aurora of Central New York,31150010300000040030000000,31150010300000040030000000,518 James Street,Suite 100,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-422-4792,315-422-9746,,,315-422-7263,,auroracny@auroraofcny.org,www.auroraofcny.org,"Private, Nonprofit","<p> Promotes independence and opportunity for Central New Yorkers of all ages by serving people who are blind or visually impaired, deaf or hard-of-hearing, as well as people who are late-deafened and deaf/blind.<br /> <br /> =========================<br /> Aurora CNY, Aurora Central New York, Aurora of CNY</p>","Cayuga, Onondaga, and Oswego counties; Interpreter services also available in Cortland and Jefferson counties",,Individuals with a significant vision and/or hearing loss,,501(c)(3),Nonprofit - Incorporated,"United Way of Onondaga, Cayuga and Oswego, NYS Commission for the Blind, ACCESS VR, OPWDD, contracts at VA Hospital and local school districts, Onondaga County (Authorized Agency and Office for Aging and Youth), memberships and donations, fundraising",Fully Accessible,None,Call for information and services,No documentation initially required,Volunteer Opportunities;,NY - Oswego County; NY - Onondaga County; NY - Cayuga County; NY - Cortland County; NY - Jefferson County;,-76.1450883,43.05370252
Atonement Lutheran Child Care Center,31150007100000220050000000,31150007100000220050000000,116 West Glen Avenue,,Syracuse,Onondaga,NY,13205,"Monday - Friday, 6:30 AM - 6 PM",,,,,,,,,,,315-492-1206,,,,315-492-7407,,childcare@alcsyracuse.org,alcsyracuse.org/,Religious-Based,<p> Provides child care and education for children birth through 12 years of age.<br /> <br /> ==============================<br /> Atonement Lutheran Church</p>,Onondaga County,,Children ages birth through 12 years,,501(c)(3),Nonprofit - Unincorporated,"Fees, Federal Funding, State Funding, City Funding, Donations",Fully Accessible,Call for fee information,Call or walk-in for application,Call for required documentation,Volunteer Opportunities;,NY - Onondaga County;,-76.14487652,43.00525834
Kelberman Center,31150010200000060030010000,31150010200000060030010000,50 Presidential Plaza,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 5 PM",,,,,,,,,,,315-749-7054,,,,315-797-6241,,info@kelbermancenter.org,http://www.kelbermancenter.org/,,"Provides services to individuals on the Autism Spectrum including preschool, clinical and school consultations, and self-directed services across the individual's lifespan.<br /><br />====================================<br />Autism Services","Herkimer, Madison, Oneida, Onondaga, Oswego, and Otsego counties",,Individuals on the Autism spectrum and their families,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,,,,Volunteer Opportunities;,NY - Oneida County; NY - Herkimer County; NY - Madison County; NY - Onondaga County; NY - Oswego County; NY - Otsego County;,-76.14464439,43.04708154
"Martin Brown, LMHC",31150010200000060030010000,31150010200000060030010000,50 Presidential Plaza,Suite LL5,Syracuse,Onondaga,NY,13202,By appointment; call for information,,,,,,,,,,,315-221-9504,,,,315-308-0309,,,,,"Provides mental health counseling to individuals ages five years and older.<br /><br />===============================<br />Therapist, Counselor, Mental Health Counselor, LMHC",Onondaga and Oswego counties,,Individuals ages five years and older,NY 18 005284 (09/15),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Anger Management; Anxiety Disorders; Panic Disorders; Attention Deficit/Hyperactivity Disorder; Learning Disabilities; Major Depression; Eating Disorders Treatment; Eating Disorders; Anorexia Nervosa; Bulimia; Bereavement Counseling; Bereaved Individuals; Marriage Counseling; Divorce Counseling; Obsessive Compulsive Disorder; Post Traumatic Stress Disorder; Stress Management; Children; Adolescent/Youth Counseling; Adolescents; Geriatric Counseling; Family Counseling; Individual Counseling; Behavior Modification; Dialectical Behavior Therapy; Cognitive Behavioral Therapy; Rational Emotive Therapy; Progressive Relaxation; Solution Focused Therapy; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.14464439,43.04708154
Band Aid Personal Care Service,31150007600000140540000000,31150007600000140540000000,156 West Matson Avenue,,Syracuse,Onondaga,NY,13205,"Daily, 9 AM - 7 PM",,,,,,,,,,,315-214-5953,,,,315-863-6938,,bandaid609@yahoo.com,https://www.facebook.com/pages/Band-Aid-Personal-Care-Ser-Transport/151394138286795?sk=info&tab=overview,"Private, for Profit",<p> Provides medical transportation to clients who are ambulatory but who require some assistance due to physical or cognitive difficulties.</p>,Onondaga County,,Medicaid-eligible individuals of any age,,Commercial,Commercial,,Fully Accessible,Medicaid-eligible or small fee; call for details,Call for information and services,Call for required documentation,Medical Appointments Transportation; Senior Ride Programs; Volunteer Opportunities;,NY - Onondaga County;,-76.14431856,43.01345738
ARISE Child and Family Services,31150001700000190030020000,31150001700000190030020000,635 James Street,,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8 AM - 4 PM",315-472-3171,Onondaga County Office,315-363-4672,Madison County Office,315-255-3447,Cayuga / Seneca County,,,,,315-472-9252,315-479-6363,,,,,info@ariseinc.org,www.ariseinc.org,"Private, Nonprofit","<p> Addresses the social, educational, economic and individual interests of people with disabilities. Works with people of all ages with all types of disabilities, their families, and the community.<br /> <br /> ====================<br /> ARISE Child & Family Services</p>","Cayuga, Madison, Onondaga, and Seneca counties",,"Individuals with developmental disabilities in Cayuga, Madison, Onondaga, and Seneca counties",,501(c)(3),Nonprofit - Incorporated,"State and Federal Grants, Community Development, United Way, Foundations, Individual Donations, Medicaid, and Medicare",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County; NY - Madison County; NY - Seneca County; NY - Cayuga County;,-76.14422653,43.05516343
Shades of Inspiration,31150007700000110190000000,31150007700000110190000000,2610 South Salina Street #16,,Syracuse,Onondaga,NY,13205,Program hours vary; call for details,,,,,,,,,,,,,,,315-863-3155,,contactus@shadesofinspiration.org,www.shadesofinspiration.org/,,"Offers a support group for individuals dealing with breast cancer. Provides individual, family, and group support.",Onondaga County,,Individuals with breast cancer,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,None,Call for information,None,Health/Disability Related Support Groups;,NY - Onondaga County;,-76.14384822,43.02249049
"Cynthia Badger, LCSW-R",31150010200000060040000000,31150010200000060040000000,600 East Genesee Street,Suite 230,Syracuse,Onondaga,NY,13202,"Monday - Friday, by appointment; call for availability",,,,,,,,,,,,,,,315-473-9300,,,,,"Provides psychotherapy for individuals ages 5 years and older as well as family counseling.<br /><br />==========================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, Cynthia R Badger, Cynthia R. Badger",Onondaga County,,Individuals ages 5 years and older,NY 73 074783 (07/17),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Anger Management; Bereavement Counseling; Marriage Counseling; Divorce Counseling; Parent Counseling; Stress Management; Spiritual/Religious Issues Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Geriatric Counseling; Pastoral Counseling/Chaplaincy Services; Psychological Assessment; Behavior Modification; Cognitive Behavioral Therapy; Eye Movement Desensitization and Reprocessing; Private Counseling / Therapy; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling;,NY - Onondaga County;,-76.1436899,43.04701679
McMahon / Ryan Child Advocacy Center,31150010200000050010000000,31150010200000050010000000,601 East Genesee Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-701-3040,,,,315-701-2985,,mcmahonryan@mcmahonryan.org,www.mcmahonryan.org,"Private, Nonprofit","Provides child advocacy, community education, professional training, and community resources on child abuse, neglect, and child abuse reporting.",Onondaga County,,,,501(c)(3),Nonprofit - Unincorporated,Donations; Federal Funding; Planned Giving;,Fully Accessible,,,,Child Advocacy Centers; Volunteer Opportunities;,NY - Onondaga County;,-76.14367578,43.04796291
Syracuse University Couple and Family Therapy Center,31150010200000050010000000,31150010200000050010000000,601 East Genesee Street,,Syracuse,Onondaga,NY,13202,"Monday - Thursday, 9 AM - 8 PM; Friday, 9 AM - 5 PM",,,,,,,,,,,315-443-4062,,,,315-443-3023,,,www.falk.syr.edu/marriagefamilytherapy/Goldberg.aspx,Educational Institute,"Provides therapy to diverse groups of individuals, couples and families (traditional and non-traditional), experiencing a variety of circumstances, including communication issues, marital or relationship difficulties, anxiety/depression, grief, sexual issues and gender identity issues. Therapists are students in the Marriage and Family Therapy doctoral or master's programs. Student therapist are supervised by Licensed Marriage and Family therapist who are faculty and staff of the program.<br /><br />==================================<br />Therapist, Counselor","Cayuga, Cortland, Madison, Oneida, Onondaga, and Oswego counties",,Individuals ages eight years and older,,Commercial,Private Practice,Syracuse University,Fully Accessible,None,Call 315-443-3023 for information and application,Call for information,Stress Management; Individual Counseling; Adolescent/Youth Counseling; Anger Management; Bereavement Counseling; Cultural Transition Counseling; Divorce Counseling; Gender Identity Counseling; Geriatric Counseling; Marriage Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Psychological Assessment; Family Counseling; Mental Health Clinics; Private Counseling / Therapy; Private Counseling / Therapy; Private Counseling / Therapy; Conjoint Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Caregiver Counseling; Premarital Counseling; Solution Focused Therapy;,NY - Onondaga County; NY - Oswego County; NY - Cayuga County; NY - Cortland County; NY - Madison County; NY - Oneida County;,-76.14367578,43.04796291
CNY Family Bike Giveaway,31150007100000200110000000,31150007100000200110000000,4612 South Salina Street,,Syracuse,Onondaga,NY,13205,"Monday - Friday, 9 AM - 5 PM; callers may leave a voice mail",,,,,,,,,,,,,,,315-446-7570,,,http://onondagacyclingclub.org/races-and-events/cny-family-bike-giveaway/,"Private, for Profit","Hosts a year-round bike giveaway. <span id=cphBody_lblAgencyDescription>Collects bikes that are donated by individuals and businesses throughout the year, repairs them, and gives them to low income families at events throughout the year.<br /><br />Re-furbished bikes or bikes in need of refurbishing may be dropped off at Fayetteville Dodge, 5427 North Burdick Street, Fayetteville.</span><br /><br /><span id=cphBody_lblAgencyDescription>===============================<br />DeWitt Memorial Funeral Home Bike Giveaway</span>",Onondaga County,,Low-income families,,501(c)(3),Nonprofit - Unincorporated,Donations from business and individuals,Fully Accessible,None,Call to apply,None,Christmas Programs;,NY - Onondaga County;,-76.14361281,43.00229939
Syracuse Housing Authority,31150009400000110070000000,31150009400000110070000000,516 Burt Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:30 PM Closed Saturdays, Sundays and all Federal Holidays. Open extended hours on Mondays ( 8:30 AM - 7 PM ). If a Federal Holiday falls on a Monday, extended hours are held on Tuesday of that week.",,,,,,,,,,,315-470-4203,,,,315-475-6181,,dpaccone@syrhousing.org,www.syracusehousing.org/,"Private, Nonprofit","<p> Owns, operates, and manages public housing developments designated for both low income elderly and/or disabled residents, and low income families. Provides information about subsidized housing under its jurisdiction, accepts Section 8 applications, provides Section 8 vouchers and subsidizes approved Section 8 rental payments.</p>",City of Syracuse,,"Elderly or disabled, low-income individuals, or low-income families",,None or unknown,None or unknown,"Rental Income, Federal/State Subsidies, Grants",Ramps; Elevators; Designated Parking;,Unknown,,,,NY - Onondaga County - Syracuse;,-76.14285645,43.03808157
National Kidney Foundation of Central New York,31150001600000200050000000,31150001600000200050000000,731 James Street,Suite 408,Syracuse,Onondaga,NY,13203,"Monday - Friday, 9 AM - 4 PM",,,,,,,,,,,,,,,315-476-0311,,ncarbone@cnykidney.org,www.cnykidney.org,"Private, Nonprofit","Refers patients and families to necessary support and health systems. Provides community education and support for patients with kidney-related diseases. Offers professional education, an adolescent support group, crisis funding, and information on organ donation.","Broome, Cayuga, Chenango, Cortland, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, Saint Lawrence, Tioga, and Tompkins counties",,No restrictions,,501(c)(3),Nonprofit - Unincorporated,"Community, Corporations, Grants, and Individual Contributions, including cars donated to Kidney Cars Program",Fully accessible,,,,Volunteer Opportunities;,NY - Tompkins County; NY - Tioga County; NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Oneida County; NY - Madison County; NY - Lewis County; NY - Jefferson County; NY - Cortland County; NY - Chenango County; NY - Cayuga Count,-76.14276027,43.05588291
New York Civil Liberties Union Central New York Chapter,31150001600000200050000000,31150001600000200050000000,731 James Street,Suite 205,Syracuse,Onondaga,NY,13203,"Monday - Friday, 12 Noon - 6 PM",,,,,,,,,,,315-471-1077,,,,315-471-2821,,cnyintake@nyclu.org,www.nyclu.org/regions/central-new-york,"Private, Nonprofit","Defends and works to preserve the Bill of Rights through public education, litigation, and legislation.","Cayuga, Cortland, Madison, Oneida, Onondaga, Oswego, and Seneca counties",,"New York State residents with a legal issue involving government law, policy, or practice affecting constitutional rights",,501(a),Nonprofit - Incorporated,"Membership dues, fundraisers, contributions",Fully Accessible,None,"Requests are taken by phone, fax, and mail; call for personal appointment",Call for required documentation,Constitutional/Civil Rights Groups; Volunteer Opportunities;,NY - Oswego County; NY - Onondaga County; NY - Seneca County; NY - Oneida County; NY - Madison County; NY - Cortland County; NY - Cayuga County;,-76.14276027,43.05588291
CNY Fair Housing,31150001600000200050000000,31150001600000200050000000,"731 James Street, Suite 200",,Syracuse,Onondaga,NY,13203,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-471-0549,,,,315-471-0420,,info@cnyfairhousing.org,www.cnyfairhousing.org/,"Private, Nonprofit","Investigates complaints of illegal housing discrimination. Agency staff conducts complaint intake, advocates for clients, facilitates reasonable accommodations and modifications, provides education and information on housing discrimination, and refers substantiated cases of discrimination to legal counsel. <br /><br />========================<br />Fair Housing Council of CNY, Fair Housing Council of Central New York, Central New York Fair Housing","Cayuga, Jefferson, Madison, Oneida, Onondaga, Oswego, Saint Lawrence, and Tompkins counties",,"Any individual or group which has suffered as a result of illegal housing discrimination in Cayuga, Jefferson, Madison, Oneida, Onondaga, Oswego, Saint Lawrence, and Tompkins counties",,501(c)(3),Nonprofit - Incorporated,"City of Syracuse, Onondaga County, private grants, and membership",Fully Accessible,"No fees for services, attorney's fees are recovered in successful settlements and litigation only; call for details",Call or walk-in for information and services,No documentation initially required,Housing Discrimination Assistance; Tenant Rights Information/Counseling;,NY - Onondaga County; NY - Oswego County; NY - Oneida County; NY - Madison County; NY - Tompkins County; NY - Cayuga County; NY - Saint Lawrence County; NY - Jefferson County;,-76.14276027,43.05588291
MAMI of CNY,31150001600000200050000000,31150001600000200050000000,"731 James Street, Suite 315",,Syracuse,Onondaga,NY,13203,"Administrative hours: Monday - Friday, 8 AM - 4 PMService hours vary as needed; call for details",315-214-5003,Syracuse Office,315-732-2271,Utica Office,518-426-1626,Albany Office,,,,,,,,,,,info@mamiinterpreters.org,http://mamiinterpreters.org/,,"Provides language and cultural access so speakers of limited English can fully participate in the community by offering interpretation and translation services, interpreter training, education for refugees and immigrants, provider training, and by participating in community collaborative projects.","Albany, Broome, Cayuga, Chemung, Chenange, Columbia, Cortland, Delaware, Fulton, Greene, Herkimer, Lewis, Madison, Montgomery, Oneida, Onondaga, Oswego, Otsego, Rensselaer, Saratoga, Schenectady, Schoharie, Schuyler, Seneca, Tioga, Tompkins, Washington, a",,"Residents, businesses, and community providers in Central New York and the Capital Region",,501(c)(3),Nonprofit - Incorporated,,Not applicable; services provided off-site,Varies; call for information,Call for information and services,None,Volunteer Opportunities;,NY - Wayne County; NY - Seneca County; NY - Schuyler County; NY - Chemung County; NY - Cayuga County; NY - Tompkins County; NY - Tioga County; NY - Broome County; NY - Cortland County; NY - Onondaga County; NY - Oneida County; NY - Oswego County; NY - Mad,-76.14276027,43.05588291
Mary Nelson's Youth Center,31150007700000160150000000,31150007700000160150000000,2849 South Salina Street,,Syracuse,Onondaga,NY,13205,"Monday - Friday, 8:30 AM - 5 PM; Saturday, 9 AM - 1 PM",,,,,,,,,,,315-422-2771,,,,315-422-2761,,marynelson337@gmail.com,www.youthdaybarbecue.com,"Private, Nonprofit",Serves as a multipurpose community youth center for residents of the greater Syracuse area.,City of Syracuse,,No restrictions,,501(c)(3),Nonprofit - Unincorporated,All programs are sponsored by personal funds and donations by board members and sponsors.,Fully Accessible,None,Walk-in,No documentation initially required,Volunteer Opportunities; Free School Supplies; School Supplies Donation Programs; Youth Violence Prevention; Youth Centers;,NY - Onondaga County - Syracuse;,-76.14268163,43.01992118
Cornell University Cooperative Extension of Onondaga County,31150007600000040280010000,31150007600000040280010000,100 South Salina Street,"The Atrium, Suite 170",Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-424-7056,,,,315-424-9485,,onondaga@cornell.edu,www.cce.cornell.edu/onondaga,,"Provides educational programs in the areas of food, renewable energy, the environment, workforce and youth Development, and community support. Provides green job training in urban forestry, storm water management systems and urban agriculture, individual farm planning and business management training for new farm start ups, technical assistance to municipalities on sustainable land use practice, and community development projects.<br /><br />========================<br />Cornell Cooperative Extension - Onondaga County, Cornell Cooperative Extension of Onondaga County",Onondaga County,,Onondaga County residents,,501(c)(3),Cooperative,"Federal, state, county, and generated revenue",Fully Accessible,,,,,NY - Onondaga County;,-76.14243918,43.01813088
New York State Office of Children and Family Services,31150007600000040280010000,31150007600000040280010000,100 South Salina Street,Suite 350,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 5 PM",315-423-1202,Syracuse Regional Office Business Line,315-423-1202,Child Care Services,315-423-1200,Child Welfare Services,315-423-5417,NYS Commission for the Blind,800-635-1522,NYS Mandated Reporter Child Abuse Hotline,315-423-1198,,,,,,,ocfs.ny.gov/main/,Public-State,"Provides programs through the Syracuse Regional Office, including Adult Services, Commission for the Blind, Child Care, Prevention, Domestic Violence, Juvenile Justice, and the Indian Child Welfare Act (ICWA).<br /><br />========================<br />NYS Office of Children & Family Services, NYS OCFS Syracuse Regional Office","Broome, Cayuga, Chenango, Cortland, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, Saint Lawrence, Tioga, and Tompkins counties",,"Residents of Broome, Cayuga, Chenango, Cortland, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, St. Lawrence, Tioga, and Tompkins counties",,None or unknown,Government - State,Government,Fully Accessible,,,,,NY - Broome County; NY - Cayuga County; NY - Chenango County; NY - Cortland County; NY - Herkimer County; NY - Jefferson County; NY - Lewis County; NY - Madison County; NY - Oneida County; NY - Onondaga County; NY - Oswego County; NY - Saint Lawrence Coun,-76.14243918,43.01813088
Rahma Free Clinic,31150007600000060070010000,31150007600000060070010000,3100 South Salina Street,,Syracuse,Onondaga,NY,13205,"Wednesday, 5:30 PM - 8:30 PM; Saturday, 11 AM - 2 PM",,,,,,,,,,,,,,,315-565-5667,,rahmahealth@gmail.com,http://www.rahmahealthclinic.com/,,"<span id=cphBody_lblAgencyDescription>Provides healthcare to the uninsured, indigent and under-served adult members of Central New York community regardless of the ability to pay, and regardless of religion, race, gender or background.<br /><br />===========================<br />Free Clinic, No Cost Clinic, Community Clinic</span>",Onondaga County,,Anyone in need of medical services,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,None,Appointment required; call for details,Call for information,Community Clinics;,NY - Onondaga County;,-76.14229767,43.01753904
Clinical Counseling Associates,31150001600000200040000000,31150001600000200040000000,753 James Street,Suite 4,Syracuse,Onondaga,NY,13203,"Monday - Friday, 10 AM - 7 PM",,,,,,,,,,,315-218-0205,,,,315-422-0671,,ccajrozsa@aol.com,www.counselingsyracuse.com,,"Provides mental health counseling to individuals ages 5 years and older.<br /><br />============================<br />Therapist, Counselor, CASAC, LCSW, Clinical Social Worker, LMHC, Mental Health Counselor, LCSW-R, Psychotherapist, Psychotherapy",Onondaga and Oswego counties,,Individuals ages 5 years and older; does not work with actively psychotic individuals,,Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale fees,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Anger Management; Bereavement Counseling; Divorce Counseling; Marriage Counseling; Parent Counseling; Sexual Orientation Counseling; Stress Management; Substance Use Disorder Counseling; Family Counseling; Group Counseling; Individual Counseling; Cultural Transition Counseling; Employment Transition Counseling; Gambling Counseling/Treatment; Adolescent/Youth Counseling; Geriatric Counseling; Gender Identity Counseling; Sexuality Counseling; Sexual Assault Counseling; Eating Disorders Treatment; Court Ordered DUI Evaluations; Central Intake/Assessment for Substance Use Disorders; General Assessment for Substance Use Disorders; Behavior Modification; Cognitive Behavioral Therapy; Gestalt Therapy; Psychodynamic Therapy; Rational Emotive Therapy; Progressive Relaxation; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.14202937,43.05619444
